Disease,Resolution,Direction,CellType,Real_Score,P_Value,FDR_Adjusted_P
adhd,500,Negative,l2_3_it_sig,-0.0160333482865152,1.0,1.0
adhd,500,Positive,l2_3_it_sig,0.0143945139338173,0.0,0.0
adhd,500,Positive,l6_it_sig,0.012576888851492,0.0,0.0
adhd,500,Positive,lamp5_sig,0.0063137513226016,0.094,0.2434709302325581
adhd,500,Positive,astro_sig,0.0042779110173062,0.197,0.4503579217447082
adhd,500,Positive,pericyte_sig,-6.173061940928419e-05,0.501,0.891
adhd,500,Positive,l5_it_sig,-0.0016523680777181,0.592,1.0
adhd,500,Positive,gad_sig,-0.0024268589719223,0.7,1.0
adhd,500,Positive,vip_sig,-0.0033481425269623,0.741,1.0
adhd,500,Positive,oligo_sig,-0.0026866405134514,0.753,1.0
adhd,500,Positive,l6_ct_sig,-0.0039175176683223,0.794,1.0
adhd,500,Positive,endothelial_sig,-0.0044672912180136,0.848,1.0
adhd,500,Positive,microglia_sig,-0.0015500732829244,0.966,1.0
adhd,500,Positive,opc_sig,-0.0018641968640606,0.985,1.0
adhd,500,Positive,l4_it_sig,-0.0086396153714415,0.995,1.0
adhd,500,Positive,pvalb_sig,-0.0176051621352151,1.0,1.0
adhd,500,Positive,pvalb_expr,-0.0176051621352151,1.0,1.0
adhd,500,Positive,sst_expr,-0.035284682406968,1.0,1.0
adhd,500,Positive,sst_sig,-0.0352831275896271,1.0,1.0
adhd,600,Negative,sst_expr,0.0185873118894854,0.0,0.0
adhd,600,Negative,opc_sig,0.0035325659890068,0.0,0.0
adhd,600,Negative,sst_sig,0.0185873118894854,0.0,0.0
adhd,600,Negative,microglia_sig,0.0130230531862217,0.037,0.108712283594394
adhd,600,Negative,astro_sig,0.001840365492952,0.079,0.2109033707865168
adhd,600,Negative,endothelial_sig,0.0081352092850009,0.086,0.2265365853658536
adhd,600,Negative,l6_ct_sig,0.005059514001404,0.11,0.2788335704125178
adhd,600,Negative,oligo_sig,0.0031038597745792,0.121,0.3026273684210526
adhd,600,Negative,l5_it_sig,0.0015235206068738,0.166,0.3920636182902585
adhd,600,Negative,gad_sig,2.893541643510552e-05,0.4,0.7582978723404256
adhd,600,Negative,pvalb_expr,0.0070987294427756,0.452,0.8231619826264691
adhd,600,Negative,pvalb_sig,0.0070987294427756,0.452,0.8231619826264691
adhd,600,Negative,pericyte_sig,0.0021544961493859,0.626,1.0
adhd,600,Negative,lamp5_sig,-7.410412051038964e-05,0.805,1.0
adhd,600,Negative,vip_sig,-0.0046936268893609,0.972,1.0
adhd,600,Negative,l4_it_sig,-0.0060193331546118,0.984,1.0
adhd,600,Negative,l2_3_it_sig,-0.0092989833917538,1.0,1.0
adhd,600,Negative,l6_it_sig,-0.0136076578775264,1.0,1.0
adhd,600,Positive,lamp5_sig,0.0155523303293074,0.001,0.0037995735607675
adhd,600,Positive,l2_3_it_sig,0.0048342331789703,0.015,0.0481188118811881
adhd,600,Positive,l6_it_sig,0.0046045840485105,0.033,0.0983377926421404
adhd,600,Positive,vip_sig,0.0034265975711447,0.16,0.3804136090727151
adhd,600,Positive,l5_it_sig,-1.7264820650268223e-05,0.32,0.6439751552795031
adhd,600,Positive,pericyte_sig,0.0008987003385099,0.323,0.647089376053963
adhd,600,Positive,gad_sig,-0.00057959545024,0.577,0.9872433989438308
adhd,600,Positive,astro_sig,0.0007174379804796,0.701,1.0
adhd,600,Positive,oligo_sig,-0.0033430696807364,0.824,1.0
adhd,600,Positive,endothelial_sig,-0.0031715920913115,0.83,1.0
adhd,600,Positive,l6_ct_sig,-0.0034185474410899,0.833,1.0
adhd,600,Positive,opc_sig,-0.000980166171801,0.969,1.0
adhd,600,Positive,l4_it_sig,-0.0046199563333078,0.985,1.0
adhd,600,Positive,pvalb_sig,-0.0015576868805018,0.998,1.0
adhd,600,Positive,pvalb_expr,-0.0015576868805018,0.998,1.0
adhd,600,Positive,microglia_sig,-0.0086628070782487,1.0,1.0
adhd,600,Positive,sst_expr,-0.0159198416001615,1.0,1.0
adhd,600,Positive,sst_sig,-0.0159198416001615,1.0,1.0
adhd,700,Negative,endothelial_sig,0.0083828651419338,0.001,0.0037995735607675
