"Region","astro_sig","endothelial_sig","gad_sig","l2_3_it_sig","l4_it_sig","l5_it_sig","l6_ct_sig","l6_it_sig","lamp5_sig","microglia_sig","oligo_sig","opc_sig","pericyte_sig","pvalb_expr","pvalb_sig","sst_expr","sst_sig","vip_sig"
360,-0.335528939962387,1.97120130062103,-1.40932881832123,-1.06770348548889,-0.560829281806946,0.296505272388458,-0.0418461859226227,0.0608362443745136,-0.21897104382515,1.12204670906067,-0.404083430767059,0.000908955174963921,1.37449741363525,0.441440552473068,0.441440552473068,0.101633921265602,0.101633921265602,0.410907983779907
361,-0.854112207889557,0.907679796218872,0.0319649763405323,-0.262009471654892,-0.328482747077942,-0.73327648639679,-0.750171363353729,-0.615227520465851,0.497839599847794,-0.170978710055351,-0.019201697781682,-0.404071897268295,-0.0241682361811399,0.862040638923645,0.862040638923645,0.76408839225769,0.76408839225769,-1.14024877548218
362,-0.414332926273346,-0.100413709878922,-0.183930367231369,0.297692209482193,0.356792211532593,0.394655048847198,-0.856388926506042,0.0199937466531992,1.27048492431641,-0.694108009338379,-0.57428115606308,-0.517390549182892,-0.104422971606255,-0.0757682472467422,-0.0757682472467422,-0.624761343002319,-0.624761343002319,0.572639644145966
363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,-0.464870423078537,0.260127812623978,-1.30496084690094,-0.991058051586151,-0.814504086971283,-0.400787174701691,0.36552694439888,-0.816694796085358,-1.00282895565033,0.0709196478128433,0.0994161143898964,0.0656726285815239,-0.945847392082214,-0.18522897362709,-0.18522897362709,0.0354008339345455,0.0354008339345455,-0.478059053421021
365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,0.678750395774841,1.53921210765839,-0.151913195848465,-0.0292673353105783,-0.108316615223885,0.523518800735474,-1.17375016212463,-0.358114749193192,-0.4227334856987,1.23918724060059,0.142672911286354,0.276708424091339,0.771420121192932,0.297617822885513,0.297617822885513,-0.598654925823212,-0.598654925823212,0.517642438411713
367,0.0906557589769363,-0.157838106155396,-0.140885606408119,0.0747288540005684,-0.493092089891434,0.0954814106225967,-0.478475123643875,-0.563065826892853,0.466586709022522,-0.0322241671383381,0.147022426128387,-0.0580807365477085,-0.303985476493835,0.14941743016243,0.14941743016243,-0.012265901081264,-0.012265901081264,-0.0957642942667007
368,-0.323643565177917,0.02738918364048,-0.430045902729034,-0.486982464790344,-0.427468508481979,-0.292489498853683,0.136094927787781,-0.678462982177734,-0.0413675233721733,0.12368356436491,0.440243870019913,-0.313268661499023,-0.811569511890411,0.44702410697937,0.44702410697937,-0.37127873301506,-0.37127873301506,-0.599486768245697
369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0.446063041687012,-0.313892930746078,-1.21409261226654,-1.44979214668274,0.00242362404242158,-0.16207130253315,1.37914609909058,-0.606136500835419,-0.539790451526642,-0.0063226199708879,1.55813336372375,0.0856072604656219,-0.453330874443054,-0.172809302806854,-0.172809302806854,-0.746080756187439,-0.746080756187439,-1.88049817085266
371,0.124450676143169,-0.407558351755142,-0.0604218132793903,-0.999688386917114,-0.216345593333244,0.143918514251709,-0.0565174967050552,-0.75685042142868,-1.14216792583466,0.670846998691559,0.152598723769188,0.0683923736214638,-0.442803174257278,0.269360423088074,0.269360423088074,-0.0197674855589867,-0.0197674855589867,-0.278967499732971
372,0.536015570163727,-0.84313839673996,0.642878651618958,-0.272040963172913,0.12162334471941,0.2459527105093,-0.23160158097744,-0.450369238853455,-1.72555267810822,0.464619994163513,-0.746660947799683,0.96152937412262,0.97757476568222,0.316805213689804,0.316805213689804,0.380720436573029,0.380720436573029,0.406684130430222
373,0.100409850478172,-1.14338314533234,-0.58899587392807,-1.54783296585083,0.0406434945762157,-0.291073441505432,-0.285913676023483,-0.897107779979706,-0.190770119428635,-0.362027317285538,0.0886225774884224,-0.141897276043892,-1.95547068119049,-0.230253219604492,-0.230253219604492,-0.527014672756195,-0.527014672756195,0.905559062957764
374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,-1.09161043167114,-0.0305849369615316,-0.530482113361359,-0.200889959931374,-0.0490848384797573,0.0819563046097755,0.426165550947189,0.368122667074203,-0.105560630559921,-0.887454032897949,-0.256114214658737,-0.44674077630043,-0.613871574401855,0.110895305871964,0.110895305871964,-0.0948561877012253,-0.0948561877012253,0.349878400564194
376,0.440398156642914,0.500611186027527,0.169398367404938,0.382541358470917,0.471446096897125,0.597209751605988,0.638119339942932,0.656317234039307,-0.611816346645355,-0.763736426830292,-0.159368395805359,0.645962119102478,1.19754123687744,-0.120032392442226,-0.120032392442226,0.0999521166086197,0.0999521166086197,0.393831849098206
377,1.38843262195587,1.21492600440979,0.420736879110336,1.90494537353516,0.720243155956268,2.42556810379028,-0.47542080283165,0.698241651058197,0.996129274368286,-0.67771178483963,0.631950378417969,0.704539835453033,2.01966643333435,-0.170647397637367,-0.170647397637367,-0.461662501096725,-0.461662501096725,2.39264798164368
378,-0.559882581233978,-0.654320359230042,-0.745341300964355,0.295982629060745,0.735568463802338,0.0795838162302971,-0.398272454738617,0.225791946053505,-0.0913852229714394,-1.59096324443817,-0.705343067646027,-0.257518410682678,-0.375148385763168,-0.048288706690073,-0.048288706690073,-0.957646429538727,-0.957646429538727,1.26046228408813
379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,-0.393405884504318,-0.185184389352798,0.467721462249756,0.364079475402832,0.179044514894485,0.133946970105171,-0.466811835765839,0.0233141556382179,0.161181911826134,-0.806633174419403,-0.906452238559723,-0.40189453959465,0.197233572602272,0.190615177154541,0.190615177154541,0.0580612123012543,0.0580612123012543,0.974391996860504
381,1.2250120639801,0.131783738732338,1.27366077899933,-0.225168958306313,-0.412534713745117,2.66982984542847,0.81049382686615,0.264560401439667,-0.365833014249802,-0.0994829088449478,-0.152697011828423,1.31570446491241,1.70493388175964,-0.0542180836200714,-0.0542180836200714,0.120675839483738,0.120675839483738,0.557258665561676
382,-0.773856163024902,0.153419137001038,0.956697344779968,1.35735774040222,1.47657644748688,-0.168011263012886,-1.07944846153259,-0.0530039630830288,0.477314919233322,-0.18671415746212,-0.39967155456543,-0.770951509475708,-0.310917019844055,0.699672102928162,0.699672102928162,-1.20510911941528,-1.20510911941528,0.787840783596039
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,-0.673111855983734,-0.0472136065363884,-0.836216866970062,-0.0478206463158131,0.397766947746277,-1.79139161109924,-0.540326774120331,0.436310082674026,-0.333259105682373,-1.18614459037781,0.707710027694702,-0.879510164260864,-1.07643699645996,0.529840230941772,0.529840230941772,-1.36745941638947,-1.36745941638947,-0.00471134902909398
386,-1.47149181365967,-0.500989258289337,-0.690740883350372,-0.0835141465067863,0.775624632835388,-0.517534613609314,-0.754093945026398,0.460041582584381,0.262660324573517,-1.52121651172638,-1.56565821170807,-0.986467957496643,-0.956238150596619,0.2319106310606,0.2319106310606,-1.09455025196075,-1.09455025196075,0.895321488380432
387,0.58678525686264,0.234380394220352,0.406610995531082,0.405773729085922,0.154960721731186,1.28421247005463,0.575897991657257,0.770621597766876,1.1694712638855,-1.0391058921814,-0.182523742318153,0.875521004199982,1.30330395698547,-0.34820032119751,-0.34820032119751,-0.207448244094849,-0.207448244094849,0.797106087207794
388,1.73174428939819,1.72864437103271,-0.433988630771637,0.953538715839386,0.176249608397484,1.57129466533661,0.534462511539459,0.645353615283966,1.31500899791718,-0.837976932525635,1.08968424797058,1.97973132133484,2.20440602302551,-0.561791121959686,-0.561791121959686,-0.331541180610657,-0.331541180610657,2.07133865356445
389,0.802172839641571,-0.060899518430233,0.701739966869354,-0.678884506225586,-0.526394903659821,0.712321639060974,-1.11152720451355,-0.926290690898895,0.540230393409729,-1.23484444618225,-0.924559652805328,-0.0309549402445555,0.667377650737762,-0.161891654133797,-0.161891654133797,0.633553147315979,0.633553147315979,0.724636435508728
390,0.154766827821732,0.863522112369537,-0.566252291202545,-0.284387499094009,-0.0980185121297836,-0.357735306024551,0.76852285861969,0.0445376895368099,-0.172049105167389,-0.425252199172974,1.40098011493683,-0.18730540573597,-0.210959568619728,0.272798001766205,0.272798001766205,-0.483183741569519,-0.483183741569519,-0.313573032617569
391,-0.296963393688202,1.00922012329102,0.844880998134613,2.23978185653687,0.817336142063141,0.992482662200928,-1.30608916282654,1.01285064220428,2.55749416351318,0.35713130235672,-1.64024555683136,0.241565719246864,0.786100447177887,0.389148145914078,0.389148145914078,-0.220169365406036,-0.220169365406036,2.39965915679932
392,-2.04694771766663,-0.292759984731674,0.17863903939724,0.388562589883804,-0.0836189165711403,-0.239532440900803,-0.289109647274017,0.0877257883548737,-1.64181399345398,-1.56146645545959,-0.515684485435486,-0.481550991535187,0.544542014598846,1.3168329000473,1.3168329000473,0.119093328714371,0.119093328714371,0.223852828145027
393,0.786286890506744,-0.00150950998067856,-0.176689103245735,-0.885078728199005,-0.378453493118286,0.582968950271606,0.947571814060211,0.614435970783234,-0.0693838149309158,-0.335878014564514,-0.0184906125068665,0.0418986566364765,-0.932766735553741,-0.684895038604736,-0.684895038604736,0.130138844251633,0.130138844251633,0.384506523609161
394,0.472872197628021,-1.0592452287674,0.355685353279114,-0.663230955600739,-0.883181869983673,0.0756897404789925,-0.417933225631714,-0.654976963996887,0.527719438076019,0.0454889535903931,-1.01541090011597,-0.143765136599541,-0.120113410055637,-0.569794833660126,-0.569794833660126,0.542563855648041,0.542563855648041,0.279774129390717
395,0.0612315759062767,0.877714276313782,-0.153319299221039,0.536628425121307,-0.661370456218719,1.39037263393402,0.365521818399429,-0.398960143327713,0.116093069314957,-1.21121215820312,-0.668657839298248,-0.593802928924561,1.00930786132812,0.0308607704937458,0.0308607704937458,-0.50235253572464,-0.50235253572464,0.387777984142303
396,-0.0808054581284523,-0.888116896152496,-0.134456977248192,0.83765310049057,0.026694418862462,-0.643758654594421,-1.79938626289368,0.0909601971507072,-0.103377848863602,-0.133345305919647,-1.23930251598358,0.278246432542801,0.669701993465424,-0.217223823070526,-0.217223823070526,0.0218472126871347,0.0218472126871347,0.432316571474075
397,0.963758707046509,1.63136792182922,-0.33541476726532,0.223267659544945,-0.0578688345849514,1.16056632995605,0.493272632360458,0.275013148784637,0.686853766441345,-0.694328308105469,0.704658210277557,-0.0933230221271515,1.10688471794128,-0.127640724182129,-0.127640724182129,-0.463060945272446,-0.463060945272446,0.379682123661041
398,-0.24942584335804,-0.51833164691925,-0.236094385385513,-0.275623947381973,-0.17469148337841,0.0923777520656586,0.537461042404175,-0.0834741219878197,0.0324616469442844,-0.951638579368591,0.0219199489802122,-0.24187296628952,-0.0323687046766281,0.374961912631989,0.374961912631989,-0.351863503456116,-0.351863503456116,-0.00363414199091494
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,-0.789837300777435,-0.841054797172546,-0.110322758555412,-0.00451452890411019,0.539300739765167,-0.475723803043365,-0.0900212526321411,0.253020346164703,-0.158357262611389,-0.428641378879547,-0.143814384937286,0.0011995859676972,-1.77845537662506,-0.0851775705814362,-0.0851775705814362,0.10270419716835,0.10270419716835,0.478402376174927
402,-0.145042940974236,-0.214726224541664,-0.23685784637928,0.631688892841339,0.0630113780498505,-0.316362768411636,-0.986632704734802,-0.280038058757782,0.174678176641464,0.540605008602142,-0.174079954624176,0.116325579583645,-0.970560967922211,-0.60014533996582,-0.60014533996582,0.535513758659363,0.535513758659363,0.351385295391083
403,-0.380785435438156,0.0335550718009472,1.02314794063568,1.14200985431671,0.574529111385345,1.3058043718338,0.0143035603687167,-0.309591829776764,0.581468224525452,-0.791762053966522,-1.22803866863251,-0.385960072278976,0.924044966697693,0.813510239124298,0.813510239124298,-0.365139544010162,-0.365139544010162,0.393654018640518
404,-0.396674960851669,-0.41062718629837,-0.24880476295948,0.409823030233383,0.373796939849854,-0.193544715642929,-0.225274249911308,0.431023985147476,0.149623066186905,-1.16680514812469,-0.235654696822166,-0.0541294701397419,0.257865011692047,-0.0395891591906548,-0.0395891591906548,-0.0626329109072685,-0.0626329109072685,0.0203312281519175
405,-0.595292329788208,-0.71586811542511,-0.34393185377121,0.155549228191376,0.364393025636673,-1.00818347930908,-1.02595794200897,0.812271356582642,-0.385979354381561,-0.270756602287292,0.104314528405666,-0.117066286504269,-1.20956158638,-0.222729340195656,-0.222729340195656,0.0593579672276974,0.0593579672276974,0.0836024358868599
406,1.98465609550476,1.55468153953552,0.865481197834015,-0.291165560483932,0.977588951587677,1.42823386192322,1.16679489612579,0.796919584274292,-1.620525598526,1.02142977714539,1.80863034725189,1.06405293941498,2.51888060569763,0.865566194057465,0.865566194057465,-0.206828400492668,-0.206828400492668,-0.660818099975586
407,-0.12873849272728,-0.48063001036644,0.103428296744823,-0.196205332875252,0.618410408496857,0.392364680767059,0.493403792381287,-0.385941535234451,-0.131013840436935,-1.18719792366028,-0.636775076389313,0.619518458843231,0.245643943548203,0.372018724679947,0.372018724679947,-0.115893512964249,-0.115893512964249,-0.2932049036026
